;nord;rus
0;пахотные земли и постоянные пастбища;посевные площади сельскохозяйственных культур
1;растениеводство с пахотных земель;производство основных видов  продукции в натуральном выражении
2;урожайность с убранной площади;урожайность сельскохозяйственных культур (в расчете на убранную площадь)
3;органическое земледелие;внесено сельскохозяйственными организациями органических удобрений на 1 га посева
4;рыболовство, годовой улов;темпы роста (снижения) объемов производства рыбы и продуктов рыбных переработанных и консервированных
5;аквакультура, производство;производство (выращивание) товарной рыбы и других объектов товарного рыбоводства (аквакультуры)
6;производство древесины, 1000 м3 или 1000 тонн;производство основных видов  продукции в натуральном выражении
7;рубки леса и прирост;объем заготовленной древесины
8;структурная статистика предприятий;количество предприятий и организаций
9;кровати для гостиниц;число мест в коллективных средствах размещения
10;гостевые ночи;число ночевок в коллективных средствах размещения
11;зарегистрированные автомобили;наличие автомобильного транспорта
12;библиотеки и тома;выдано экземпляров из библиотечного фонда библиотек минкультуры россии
13;театры;количество театров минкультуры россии
14;музеи;число музеев минкультуры россии
15;изданы книги;количество вновь вышедших книжных изданий
16;население на 1 января;численность постоянного населения на 1 января
17;браки и разводы;число браков за год
18;живорождения;число зарегистрированных родившихся 
19;показатели рождаемости;суммарный коэффициент рождаемости
20;общий коэффициент абортов и количество искусственных абортов на 1000 женщин.;число прерываний беременности
21;количество искусственных абортов;число прерываний беременности
22;иммиграция;число прибывших
23;эмиграция;число выбывших
24;чистая миграция;миграционный прирост
25;смерти;число зарегистрированных умерших
26;смертность;смертность от всех причин, случаев на 1000 населения
27;прирост населения - среднее население (всего);численность постоянного населения в среднем за год
28;средняя численность населения;среднегодовая численность населения
29;население;численность постоянного населения на 1 января
30;прямые иностранные инвестиции в процентах от ввп;доля прямых иностранных инвестиций в российской экономике к ввп
31;годовой рост реального валового внутреннего продукта;индекс физического объема валового регионального продукта на душу населения
32;валовой внутренний продукт в pps/евро.;валовой внутренний продукт в рыночных ценах в соответствии с методологией снс 1993 с частичными отклонениями
33;валовая добавленная стоимость (esa2010);валовая добавленная стоимость в основных ценах в соответствии с методологией снс 1993 с частичными отклонениями
34;занятость по видам деятельности;среднегодовая численность занятых в экономике
35;расходы домашних хозяйств на конечное потребление в млн евро;расходы на конечное потребление домашних хозяйств
36;количество выпускников;численность студентов в государственных и муниципальных образовательных учреждениях, реализующих программы среднего профессионального образования
37;места, занимаемые женщинами в национальных парламентах;доля мест, занимаемых женщинами в национальных парламентах (5.5.1)
38;выбросы загрязняющих веществ в атмосферу (тонн);выбросы загрязняющих атмосферу веществ, отходящих от стационарных источников, за i полугодие
39;воздействие твердых частиц на городское население;среднегодовой уровень содержания мелких твердых частиц (рм2,5 и рм10) в атмосфере городов гусиноозерск, иркутск, казань, улан-удэ 
40;счета выбросов в атмосферу;выброшено в атмосферу загрязняющих веществ за отчетный год от сжигания топлива (для выработки электро- и теплоэнергии)
41;валовое внутреннее потребление энергии;производство и потребление электроэнергии в российской федерации
42;первичное производство энергии;производство и потребление электроэнергии в российской федерации
43;доля энергии из возобновляемых источников;доля производства электрической энергии генерирующими объектами, функционирующими на основе использования возобновляемых источников энергии, в совокупном объеме производства электрической энергии (без учета гидроэлектростанций установленной мощностью свыше 25 мвт)
44;расход удобрений, 1000 тонн чистого удобрения;внесено сельскохозяйственными организациями минеральных удобрений в пересчете на 100 % питательных веществ на 1 га посева
45;развитие производства и обработки бытовых отходов;вывезено твердых коммунальных отходов на объекты, используемые для обработки отходов (тысяча кубических метров, значение показателя за год)
46;нормальная температура в странах северной европы.;средняя месячная температура воздуха в июле (фактическая)
47;число смертей на 100 000 населения, вызванных злокачественными новообразованиями.;смертность населения от злокачественных новообразований, на 100 тыс. населения
48;количество смертей на 100 000 населения, вызванных сердечно-сосудистыми заболеваниями.;смертность от сердечно-сосудистых заболеваний, злокачественных новообразований, сахарного диабета, хронических респираторных заболеваний (3.4.1.)
49;количество смертей на 100 000 населения в результате самоубийств;смертность от самоубийств  (3.4.2.)
50;количество смертей на 100 000 человек в результате несчастных случаев;количество пострадавших со смертельным исходом в результате зарегистрированных несчастных случаев на производстве
51;расходы на здравоохранение;расходы средств обязательного медицинского страхования в расчете на 1 жителя вместо «расходы консолидированного бюджета субъекта российской федерации на здравоохранение (средства обязательного медицинского страхования) в расчете на 1 жителя»
52;занятый медицинский персонал в сфере здравоохранения и социальных услуг на 100 000 жителей.;численность врачей всех специальностей (физических лиц) в организациях, оказывающих медицинские услуги населению, на конец отчетного года
53;разрешенные больничные койки;обеспеченность больничными койками на 10 тыс. населения
54;ожидаемая продолжительность жизни;ожидаемая продолжительность жизни при рождении (прогноз)
55;подтвержденное количество новых случаев вич/спида;число зарегистрированных случаев инфекционных заболеваний (человек)
56;доля населения, которое не работает и не учится (в процентах);доля молодежи (в возрасте от 15 до 24 лет), которая не учится, не работает и не приобретает профессиональных навыков (8.6.1)
57;занятость (в процентах);уровень занятости
58;экспорт, 1000 евро,;стоимость экспортных (импортных) операций по субъектам российской федерации
59;импорт, 1000 евро,;стоимость экспортных (импортных) операций по субъектам российской федерации
60;работающие в возрасте 15-64 лет (1000 человек) на 1 января;численность занятых по полу и возрастным группам
61;частичная занятость;занятые неполное время по причинам работы неполную рабочую неделю по полу и возрасту
62;время (часы), потраченное на работу по дому помимо работы;доля времени, затрачиваемого на неоплачиваемые работу по дому и труд по уходу за членами домохозяйства и семьи (5.4.1)
63;занятость и безработица;численность безработных граждан, зарегистрированных в государственных учреждениях службы занятости и получающих пособие по безработице на конец отчетного периода
64;дети в детском саду;численность детей, посещающих дошкольные образовательные учреждения
65;среднегодовой заработок в pps/евро;средний почасовой заработок женщин и мужчин в разбивке по группам занятий и возрасту (8.5.1)
66;риск бедности;доля населения с денежными доходами ниже величины прожиточного минимума, установленной в субъекте российской федерации
67;выбросы парниковых газов;уловлено и обезврежено загрязняющих веществ
68;возобновляемая энергия;мощность генерирующих объектов, функционирующих на основе использования возобновляемых источников энергии (без учета гидроэлектростанций установленной мощностью свыше 25 мвт)
69;энергоемкость;энергоемкость ввп
70;сельскохозяйственные птицы;поголовье скота и птицы  в хозяйствах всех категорий
71;занятость;уровень занятости
72;экономический рост;индексы физического объёма валового регионального продукта в основных ценах (оквэд-2007)
73;расходы на исследования и разработки;внутренние текущие затраты на научные исследования и разработки
74;индекс цифровой экономики и общества (desi);внутренние затраты на развитие цифровой экономики за счет всех источников
75;продолжительность жизни;ожидаемая продолжительность жизни при рождении (прогноз)
76;самооценка здоровья;оценка респондентами состояния своего здоровья
77;экономическое неравенство (коэффициент джини);коэффициент джини (индекс концентрации доходов)
78;риск бедности и социальной изоляции;уровень бедности
79;национальные индексы потребительских цен, индекс (2015 г. = 100),;индексы потребительских цен к среднегодовому значению 2010 г.
80;индексы цен на жилье (2015 г. = 100);индексы цен на рынке жилья
81;продажа алкогольных напитков (литров чистого спирта на человека);продажа алкогольных напитков в абсолютном алкоголе на душу населения
82;профицит, дефицит и долг сектора государственного управления;дефицит/профицит консолидированного бюджета субъекта рф и территориального государственного внебюджетного фонда
83;налоги и чистые налоги;начисление и поступление налогов, сборов и иных обязательных платежей в бюджетную систему российской федерации
84;количество патентных заявок;коэффициент изобретательской активности (число отечественных патентных заявок на изобретения, поданных в россии в расчете на 10 тыс. человек населения)
85;количество выпускников докторантуры или эквивалентного уровня (isced2011);выпуск из докторантуры в отчетном году
86;интернет и широкополосный доступ в домохозяйствах;число домохозяйств, имеющих широкополосный доступ к сети «интернет»
87;телефонные подписки;количество абонентских станций (устройств), подключённых к сетям подвижной радиотелефонной связи в стандарте gsm
88;средняя эквивалентная чистая прибыль в pps/евро;медианный среднедушевой доход
89;эквивалентный средний доход в pps/евро;медианный эквивалентный располагаемый денежный доход
90;коэффициент джини;коэффициент джини (индекс концентрации доходов)
91;риск бедности (в процентах домохозяйств);уровень бедности
92;общее количество пенсионеров;общая численность пенсионеров
93;домохозяйства, получающие жилищные пособия на конец года,;доля семей, получающих жилищные субсидии на оплату жилого помещения и коммунальных услуг, в общем числе семей в субъекте российской федерации
94;количество лиц, получающих финансовую социальную помощь, в целом и в процентах от населения на момент расчета;численность лиц, имеющих право на получение государственной социальной помощи в виде набора социальных услуг, состоящих на учете в системе пенсионного фонда российской федерации
