;eng;rus;best_match;ind_right
1;AGRI10: Arable land and permanent grassland;AGRI10: Пахотные земли и постоянные пастбища;Посевные площади сельскохозяйственных культур;1
2;AGRI11: Crop production from arable land;AGRI11: Растениеводство с пахотных земель;Производство основных видов  продукции в натуральном выражении;1
3;AGRI12: Crop yield from harvested area;AGRI12: Урожайность с убранной площади;урожайность сельскохозяйственных культур (в расчете на убранную площадь);1
4;OEKO01: Organic farming;OEKO01: Органическое земледелие;внесено сельскохозяйственными организациями органических удобрений на 1 га посева;1
5;FISH11: Fishing, annual catches;FISH11: Рыболовство, годовой улов;темпы роста (снижения) объемов производства рыбы и продуктов рыбных переработанных и консервированных;1
6;FISH12: Fishing, annual catches;FISH12: Рыболовство, годовой улов;;
7;FISH13: Aquaculture, production;FISH13: Аквакультура, производство;производство (выращивание) товарной рыбы и других объектов товарного рыбоводства (аквакультуры);1
8;FISH14: Fishing fleet;FISH14: Рыболовный флот;;
9;FORE07: Production of wood, 1000 cubic metres or 1000 tonnes;FORE07: Производство древесины, 1000 м3 или 1000 тонн;Производство основных видов  продукции в натуральном выражении;1
10;FORE08: Forest fellings and increment;FORE08: Рубки леса и прирост;Объем заготовленной древесины;1
11;ENTP01: Structural statistics on enterprises;ENTP01: Структурная статистика предприятий;Количество предприятий и организаций;1
12;ENTP03: New enterprise creations, index (2013Q1=100);ENTP03: Создание новых предприятий, индекс (1 кв. 2013 г. = 100);;
13;TOUR02: Hotel beds;TOUR02: Кровати для гостиниц;число мест в коллективных средствах размещения;1
14;TOUR03: Guest nights;TOUR03: Гостевые ночи;число ночевок в коллективных средствах размещения;1
15;TRSP01: Registered motor vehicles;TRSP01: Зарегистрированные автомобили;Наличие автомобильного транспорта;1
16;CULT01: Libraries and volumes;CULT01: Библиотеки и тома;Выдано экземпляров из библиотечного фонда библиотек Минкультуры России;1
17;CULT04: Cinemas;CULT04: Кинотеатры;;
18;CULT05: Cinema film premieres;CULT05: Кинопремьеры;;
19;CULT15: Theatres;CULT15: Театры;количество театров Минкультуры России;1
20;CULT16: Museums;КУЛЬТ16: Музеи;число музеев Минкультуры России;1
21;CULT17: Books published;CULT17: Изданы книги;количество вновь вышедших книжных изданий;1
22;CULT20: General government expenditure on culture;CULT20: Общие государственные расходы на культуру;;
23;CULT23: Cultural employment;CULT23: Культурная занятость;;
24;CHIL05: Childlessness by the age of 45;Бездетность к 45 годам;;
25;CHIL06: Parents age at birth of first child;CHIL06: Возраст родителей при рождении первого ребенка;;
26;POPU03: Population 1 January;POPU03: Население на 1 января;численность постоянного населения на 1 января;1
27;POPU04: Marriages and divorces;POPU04: Браки и разводы;Число браков за год;1
28;CHIL01: Live births;CHIL01: Живорождения;Число зарегистрированных родившихся ;1
29;CHIL02: Fertility rates;CHIL02: Показатели рождаемости;суммарный коэффициент рождаемости;1
30;HEAL15: Total abortion rate and number of induced abortions per 1000 women;HEAL15: Общий коэффициент абортов и количество искусственных абортов на 1000 женщин.;число прерываний беременности;1
31;HEAL16: Number of induced abortions;HEAL16: Количество искусственных абортов;число прерываний беременности;1
32;MIGR01: Immigration;MIGR01: Иммиграция;Число прибывших;1
33;MIGR02: Emigration;МИГР02: Эмиграция;Число выбывших;1
34;MIGR03: Net migration;MIGR03: Чистая миграция;миграционный прирост;1
35;MIGR04: Asylum applicants and first instance positive decisions on applications;MIGR04: Просители убежища и положительные решения первой инстанции по заявлениям;;
36;MIGR05: Asylum applicants considered to be unaccompanied minors;MIGR05: Просители убежища считаются несовершеннолетними без сопровождения;;
37;MIGR41: Migrated people from one Nordic country to another country of residence;MIGR41: Люди, мигрировавшие из одной скандинавской страны в другую страну проживания;;
38;MIGR42: Migrated people from one Nordic country to another;MIGR42: Миграция людей из одной скандинавской страны в другую;;
39;MIGR43: Migrated people from one Nordic country to another;MIGR43: Миграция людей из одной скандинавской страны в другую;;
40;MIGR44: Migrated people from one Nordic country to another;MIGR44: Миграция людей из одной скандинавской страны в другую;;
41;DEAT01: Deaths;DEAT01: Смерти;число зарегистрированных умерших;1
42;DEAT04: Death rates;DEAT04: Смертность;смертность от всех причин, случаев на 1000 населения;1
43;POPU07: Population changes;POPU07: Изменения населения;;
44;POPU10: Population growth - mean population (total);POPU10: Прирост населения - среднее население (всего);Численность постоянного населения в среднем за год;1
45;POPU06: Population projections;POPU06: Прогнозы численности населения;;
46;CITI01: Population 1 January;CITI01: Население на 1 января;;
47;CITI02: Population 1 January;CITI02: Население на 1 января;;
48;POPU01: Population 1 January;POPU01: Население на 1 января;;
49;POPU02: Mean population;POPU02: Средняя численность населения;среднегодовая численность населения;1
50;POPU05: Capital area population;POPU05: Население столицы;;
