;word
0;наличие сельскохозяйственной техники (окончательные итоги)
1;общая земельная площадь (окончательные итоги)
2;площади многолетних плодовых насаждений и ягодных культур (окончательные итоги)
3;посевная площадь по видам сельскохозяйственных культур (окончательные итоги)
4;средний размер хозяйств по общей площади и сельскохозяйственных угодий, посевной площади  (окончательные итоги)
5;средний размер хозяйств по поголовью скота (окончательные итоги)
6;средний размер хозяйств по численности работников (окончательные итоги)
7;структура многолетних плодовых насаждений и ягодных  культур (окончательные итоги)
8;структура посевных площадей по видам сельскохозяйственных культур (окончательные итоги)
9;численность работников, занятых в организациях (хозяйствах) (окончательные итоги)
10;число организаций (хозяйств) (окончательные итоги)
11;уровень грамотности взрослого населения
12;численность населения по итогам всероссийской переписи населения
13;численность постоянного населения по предварительным итогам всероссийской переписи населения
14;число частных домохозяйств по итогам всероссийской переписи населения
15;выручка от реализации товаров (работ, услуг)
16;затраты на приобретение и создание основных средств (инвестиции в основной капитал) индивидуальных предпринимателей – субъектов малого и среднего предпринимательства
17;количество индивидуальных предпринимателей
18;количество малых и средних предприятий
19;наличие основных средств по полной учетной стоимости
20;наличие собственных основных средств по стоимости приобретения с учетом ее изменения без вычета износа
21;объем выручки (с учетом налогов и аналогичных обязательных платежей) от продажи товаров, продукции, работ, услуг по всем видам предпринимательской деятельности
22;расходы на приобретение сырья, материалов, топлива, энергии, покупных полуфабрикатов и комплектующих изделий, запасных частей, инвентаря и хозяйственных принадлежностей, тары и т.п. для осуществления производственной деятельности
23;средняя численность работников (работники списочного состава, внешние совместители, работники, выполнявшие работы по договорам гражданско-правового характера)
24;численность занятых в сфере индивидуального предпринимательства
25;выпуск в основных ценах  в соответствии с методологией снс 2008
26;выпуск в основных ценах в соответствии с методологией снс 1993 с частичными отклонениями
27;другие налоги на производство в соответствии с методологией снс 1993 с частичными отклонениями
28;другие субсидии на производство в соответствии с методологией снс 1993 с частичными отклонениями
29;оплата труда и смешанные доходы, не наблюдаемые прямыми статистическими методами
30;оплата труда и смешанные доходы, не наблюдаемые прямыми статистическими методами, рассчитанные на основе баланса 
31;промежуточное потребление в соответствии с методологией снс 2008
32;промежуточное потреблениев соответствии с методологией снс 1993 с частичными отклонениями
33;валовая добавленная стоимость в основных ценах в соответствии с методологией снс 1993 с частичными отклонениями
34;валовая добавленная стоимость в основных ценах в соответствии с методологией снс 2008
35;валовая добавленная стоимость туристской индустрии 
36;валовая добавленная стоимость туристской индустрии (оквэд 2)
37;валовой внутренний продукт в рыночных ценах в соответствии с методологией снс 1993 с частичными отклонениями
38;валовой внутренний продукт в рыночных ценах на душу населения в соответствии с методологией снс 1993 с частичными отклонениями
39;доля продукции высокотехнологичных и наукоемких отраслей в валовом внутреннем продукте
40;доля продукции высокотехнологичных и наукоемких отраслей в валовом внутреннем продукте (оквэд 2)
41;индексы физического объема валового внутреннего продукта в рыночных ценах на душу населения в соответствии с методологией снс 1993 с частичными отклонениями
42;индексы физического объема валового внутреннего продукта в рыночных ценах на душу населения в соответствии с методологией снс 2008
43;индексы физического объёма валового внутреннего продукта в рыночных ценах в соответствии с методологией снс 1993 с частичными отклонениями
44;индексы физического объёма валовой добавленной стоимости в основных ценах  в соответствии с методологией снс 2008
45;индексы физического объёма валовой добавленной стоимости в основных ценах в соответствии с методологией снс 1993 с частичными отклонениями
46;индексы физического объёма чистых налогов на продукты
47;индексы-дефляторы валового внутреннего продукта в рыночных ценах в соответствии с методологией снс 1993 с частичными отклонениями
48;индексы-дефляторы валовой добавленной стоимости в основных ценах в соответствии с методологией снс 1993 с частичными отклонениями
49;индексы-дефляторы валовой добавленной стоимости в основных ценах в соответствии с методологией снс 2008
50;индексы-дефляторы чистых налогов на продукты
51;структура валовой добавленной стоимости по отраслям экономики в соответствии с методологией снс 1993 с частичными отклонениями
52;структура валовой добавленной стоимости по отраслям экономики в соответствии с методологией снс 2008
53;структура валовой добавленной стоимости по отраслям экономики в соответствии с методологией снс 2008 (оквэд 2)
54;валовая прибыль и валовые смешанные доходы в соответствии с методологией снс 2008
55;валовая прибыль экономики и валовые смешанные доходы в соответствии с методологией снс 1993 с частичными отклонениями
56;другие чистые налоги на производство в соответствии с методологией снс 2008
57;оплата труда наемных работников в соответствии с методологией снс 1993 с частичными отклонениями
58;оплата труда наемных работников в соответствии с методологией снс 2008
59;валовое накопление в соответствии с методологией снс 1993 с частичными отклонениями
60;валовое накопление основного капитала в соответствии с методологией снс 1993 с частичными отклонениями
61;доля инвестиций в основной капитал в ввп в соответствии с методологией снс 1993 с частичными отклонениями
62;доля инвестиций в основной капитал в ввп в соответствии с методологией снс 2008
63;изменение запасов материальных оборотных средств в соответствии с методологией снс 1993 с частичными отклонениями
64;индексы физического объёма валового накопления в соответствии с методологией снс 1993 с частичными отклонениями
65;индексы физического объёма валового накопления основного капитала в соответствии с методологией снс 1993 с частичными отклонениями
66;индексы физического объёма расходов на конечное потребление в соответствии с методологией снс 1993 с частичными отклонениями
67;индексы физического объёма расходов на конечное потребление государственного управления в соответствии с методологией снс 1993 с частичными отклонениями
68;индексы-дефляторы валового накопления в соответствии с методологией снс 1993 с частичными отклонениями
69;индексы-дефляторы валового накопления основного капитала в соответствии с методологией снс 1993 с частичными отклонениями
70;индексы-дефляторы импорта товаров и услуг
71;индексы-дефляторы расходов на конечное потребление в соответствии с методологией снс 1993 с частичными отклонениями
72;индексы-дефляторы расходов на конечное потребление государственного управления в соответствии с методологией снс 1993 с частичными отклонениями
73;индексы-дефляторы экспорта товаров и услуг
74;расходы на конечное потребление в соответствии с методологией снс 1993 с частичными отклонениями
75;расходы на конечное потребление государственного управления в соответствии с методологией снс 1993 с частичными отклонениями
76;расходы на конечное потребление государственного управления на индивидуальные товары и услуги в соответствии с методологией снс 1993 с частичными отклонениями
77;расходы на конечное потребление государственного управления на коллективные услуги в соответствии с методологией снс 1993 с частичными отклонениями
78;статистическое расхождение в соответствии с методологией снс 1993 с частичными отклонениями
79;удельный вес  валового накопления в ввп в соответствии с методологией снс 2008
80;удельный вес  расходов домашних хозяйств на конечное потребление в ввп в соответствии с методологией снс 2008
81;удельный вес  чистого экспорта в ввп в соответствии с методологией снс 1993 с частичными отклонениями
82;удельный вес валового накопления в ввп в соответствии с методологией снс 1993 с частичными отклонениями
83;удельный вес валового накопления основного капитала в ввп  в соответствии с методологией снс 2008
84;удельный вес валового накопления основного капитала в ввп в соответствии с методологией снс 1993 с частичными отклонениями
85;удельный вес изменения запасов материальных оборотных средств в ввп в соответствии с методологией снс 1993 с частичными отклонениями
86;удельный вес изменения запасов материальных оборотных средств в ввп в соответствии с методологией снс 2008
87;удельный вес расходов государственного управления на конечное потребление в ввп в соответствии с методологией снс 1993 с частичными отклонениями
88;удельный вес расходов домашних хозяйств на конечное потребление в ввп в соответствии с методологией снс 1993 с частичными отклонениями
89;удельный вес расходов на конечное потребление в ввп в соответствии с методологией снс 1993 с частичными отклонениями
90;удельный вес расходов на конечное потребление в ввп в соответствии с методологией снс 2008
91;удельный вес расходов на конечное потребление государственного управления в ввп в соответствии с методологией снс 2008
92;удельный вес расходов некоммерческих организаций, обслуживающих домашние хозяйств на конечное потребление в ввп в соответствии с методологией снс 1993 с частичными отклонениями
93;удельный вес расходов некоммерческих организаций, обслуживающих домашние хозяйств на конечное потребление в ввп в соответствии с методологией снс 2008
94;удельный вес чистого экспорта в ввп в соответствии с методологией снс 2008
95;удельный вес экспорта  товаров и услуг  в ввп в соответствии с методологией снс 1993 с частичными отклонениями
96;удельный вес экспорта  товаров и услуг  в ввп в соответствии с методологией снс 2008
97;фактическое конечное потребление домашних хозяйств  на душу населения
98;отношение объема инвестиций в основной капитал к валовому внутреннему продукту
99;индексы физического объёма импорта товаров и услуг
100;индексы физического объёма экспорта товаров и услуг
101;индексы физического объёма валового накопления основного капитала в соответствии с методологией снс 2008
102;индексы-дефляторы валового накопления в соответствии с методологией снс 2008
103;индексы-дефляторы валового накопления основного капитала в соответствии с методологией снс 2008
104;индексы-дефляторы расходов на конечное потребление в соответствии с методологией снс 2008
105;индексы-дефляторы расходов на конечное потребление государственного управления в соответствии с методологией снс 2008
106;индексы-дефляторы расходов на конечное потребление домашних хозяйств 
107;индексы-дефляторы расходов на конечное потребление некоммерческих организаций, обслуживающих домашние хозяйства
108;индексы физического объёма валового накопления в соответствии с методологией снс 2008
109;индексы физического объёма расходов на конечное потребление в соответствии с методологией снс 2008
110;индексы физического объёма расходов на конечное потребление государственного управления в соответствии с методологией снс 2008
111;индексы физического объёма расходов на конечное потребление домашних хозяйств
112;индексы физического объёма расходов на конечное потребление некоммерческих организаций, обслуживающих домашние хозяйства
113;внутренний конечный спрос
114;фактическое конечное потребление домашних  хозяйств
115;импорт товаров (снс)
116;импорт услуг (снс)
117;экспорт товаров (снс)
118;расходы на конечное потребление государственного управления на индивидуальные товары и услуги в соответствии с методологией снс 2008
119;расходы на конечное потребление государственного управления на коллективные услуги в соответствии с методологией снс 2008
120;валовое накопление в соответствии с методологией снс 2008
121;изменение запасов материальных оборотных средств в соответствии с методологией снс 2008
122;импорт товаров и услуг
123;расходы на конечное потребление в соответствии с методологией снс 2008
124;расходы на конечное потребление домашних хозяйств
125;расходы на конечное потребление некоммерческих организаций, обслуживающих домашние хозяйства
